UserID,Time,TaskLoad,Engagement
004,1661806401.495,2.53,0.469
004,1661806401.995,2.428,0.418
004,1661806402.495,1.588,0.686
004,1661806402.995,2.756,0.415
004,1661806403.496,0.85,0.257
004,1661806403.996,2.343,0.642
004,1661806404.496,2.087,0.822
004,1661806404.996,1.608,0.715
004,1661806405.496,1.087,0.718
004,1661806405.996,1.082,0.462
004,1661806406.496,1.249,0.363
004,1661806406.996,6.079,0.359
004,1661806407.496,2.245,0.319
004,1661806407.996,2.686,0.28
004,1661806408.496,2.243,0.313
004,1661806408.996,1.266,0.334
004,1661806409.496,1.423,0.407
004,1661806409.996,2.165,0.428
004,1661806410.496,2.107,0.407
004,1661806410.996,2.036,0.434
004,1661806411.496,1.007,0.521
004,1661806411.996,1.72,0.6
004,1661806412.496,1.332,0.25
004,1661806412.996,2.279,0.397
004,1661806413.497,1.836,0.381
004,1661806413.997,1.697,0.709
004,1661806414.497,1.467,0.439
004,1661806414.997,1.171,0.313
004,1661806415.497,1.478,0.373
004,1661806415.997,1.272,0.542
004,1661806416.497,1.528,0.416
004,1661806416.997,0.785,0.533
004,1661806417.497,2.102,0.747
004,1661806417.997,1.85,0.725
004,1661806418.497,1.867,1.292
004,1661806418.997,1.232,0.732
004,1661806419.497,2.073,0.736
004,1661806419.997,1.397,0.441
004,1661806420.497,1.529,0.794
004,1661806420.997,1.404,0.742
004,1661806421.497,3.155,0.396
004,1661806421.997,0.82,0.513
004,1661806422.497,1.197,0.657
004,1661806422.997,3.098,0.784
004,1661806423.498,0.689,0.739
004,1661806423.998,1.61,0.294
004,1661806424.498,1.003,0.67
004,1661806424.998,1.548,0.589
004,1661806425.498,1.163,0.393
004,1661806425.998,2.626,0.571
004,1661806426.498,1.481,0.55
004,1661806426.998,1.458,0.514
004,1661806427.498,1.062,0.422
004,1661806427.998,1.623,0.678
004,1661806428.498,1.964,0.325
004,1661806428.998,1.943,0.376
004,1661806429.498,2.219,0.414
004,1661806429.998,2.508,0.434
004,1661806430.498,1.092,0.574
004,1661806430.998,1.949,0.512
004,1661806431.498,2.965,0.663
004,1661806431.998,2.91,0.249
004,1661806432.498,1.722,0.404
