Time,pupilDilation,gazeX,gazeY,gazeVelocity,movingRmssd,deltaGSRsmooth,Agg_stress,Agg_cogLoad
1652459348.9739063,0.4406517595,377.1519530323,122.5432130751,3.408338956,0.0414309849,2.0552812932,1.0483561391,1.2479665264
1652459349.9739063,0.5374078157,164.6456860062,1156.8994728627,0.5828998959,0.0414309849,0.2478054858,0.1446182353,0.3926066507
1652459350.9739063,0.9090722765,381.3742996902,299.2086734638,2.803056245,0.0414309849,-1.4750961617,-0.7168325884,-0.2830119426
1652459351.9739063,1.0795752825,1140.6927376811,447.0992038756,3.0399330778,0.0414309849,-0.4251801108,-0.191874563,0.3271975858
1652459352.9739063,0.3891430237,1900.9595174009,745.1590154332,3.0671689831,0.0414309849,-2.2112469034,-1.0849079592,-0.9110519398
1652459353.9739063,-0.6297523498,2661.2262971208,1043.2188269909,3.0944048883,0.0568226715,2.5202616674,1.2885421695,0.9452546588
1652459354.9739063,-0.5976417388,3245.7801905294,1259.7539822704,1.290441666,0.1930901415,1.0354974884,0.614293815,0.2189278748
1652459355.9739063,-0.0121047384,3280.7954039684,1421.6655784697,-0.3426298117,0.2114724747,-0.6293388747,-0.2089332,-0.3207218065
1652459356.9739063,0.0058949974,3321.4765586165,736.3300497271,0.2023088312,0.2114724747,-0.9307800839,-0.3596538046,-0.4624425433
1652459357.9739063,0.4382363867,935.1773215514,815.9487475092,0.5599910805,0.2114724747,-0.2361021845,-0.0123148549,0.1010671011
1652459358.9739063,0.9242733825,1788.3524597761,782.7128411049,0.773783571,0.2114724747,-0.0713386591,0.0700669078,0.4264673617
1652459359.9739063,0.6419248295,2715.0609346909,29.5413746254,0.0891243241,0.2929396492,-0.2521473858,0.0203961317,0.1948887218
1652459360.9739063,1.387660277,2782.0952486087,35.2964593009,1.4075461846,0.2727631452,0.6632693874,0.4680162663,1.0254648322
1652459361.9739063,1.578547227,2690.9733499725,123.86369449,1.5507248043,0.356434365,0.7226672601,0.5395508126,1.1506072436
1652459362.9739063,2.1203656186,1749.296959978,672.2811347617,-0.3269857727,0.3819749937,-1.0903374678,-0.354181237,0.5150140754
1652459363.9739063,3.8161984352,1752.8040639763,673.8876198973,-0.3327250871,0.3819749937,-0.1726132969,0.1046808484,1.8217925692
1652459364.9739063,2.6512835536,1445.7758087932,419.9992077046,1.3704337434,0.3819749937,1.7158767445,1.0489258691,2.183580149
1652459365.9739063,-0.7668993619,1635.4912441681,572.2763060794,-0.2868075117,0.3819749937,0.2371947338,0.3095848638,-0.264852314
1652459366.9739063,-0.368506747,1725.5967169596,660.9269184241,-0.2868884919,0.3317313013,-0.7435396122,-0.2059041555,-0.5560231796
1652459367.9739063,-0.1153244264,1683.4416240614,806.1170454202,0.3026475828,0.2130963082,-1.0264661259,-0.4066849088,-0.5708952761
1652459368.9739063,2.4348672653,1591.91787432,905.2603862099,1.2393887523,0.2114724747,1.0510197048,0.6312460898,1.7429434851
1652459369.9739063,0.8219861128,1025.4228911273,584.2051493058,-0.1174074854,0.2114724747,-0.366207223,-0.0773673741,0.2278894449
1652459370.9739063,0.1348475363,897.5641110476,568.3317606814,-0.3350749035,0.2114724747,-1.4754420815,-0.6319848034,-0.6702972726
